Categoria,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24
circle,0.0672091,0.105426,0.0574013,0.127188,0.0404716,0.139249,0.0787472,0.0745282,0.14545,0.0865562,0.110737,0.148074,0.0664869,0.0760803,0.139746,0.148509,0.0573546,0.0647947,0.161589,0.147611,0.0502903,0.0588334,0.0668951,0.177499,0.145917
circle,0.00260215,0.00463502,0.00498193,0.00639396,0.0055435,0.00802726,0.0065803,0.00636123,0.009581,0.00795405,0.00720158,0.0110694,0.00838624,0.0087545,0.00794254,0.0124956,0.00719146,0.00893577,0.0085201,0.013859,0.00452049,0.00534862,0.00857971,0.00890918,0.0151589
circle,0.000229748,0.000603754,0.00121632,0.000929651,0.0013804,0.00125699,0.00127419,0.0016828,0.00157966,0.00168213,0.00190107,0.00188801,0.00175818,0.0015255,0.00199959,0.00217617,0.00101091,0.00126988,0.00199529,0.00244153,0.0023201,0.00155313,0.00128678,0.00192014,0.00268373
circle,0.000494377,0.000574708,0.000160455,0.000731279,0.000365253,0.000847167,0.000802238,0.000530867,0.000919335,0.00118646,0.000870051,0.000967448,0.00239384,0.00141838,0.0011804,0.00100781,0.000488657,0.0010751,0.00138768,0.00104949,0.00372626,0.00151259,0.000686859,0.00150251,0.001096
circle,0.00875479,0.0168964,0.0229903,0.0246026,0.0280444,0.0318347,0.029107,0.0313142,0.0385428,0.0260086,0.0326575,0.0447054,0.0156296,0.020121,0.0322682,0.0503297,0.00846528,0.0135773,0.0304876,0.0554425,0.0126412,0.0118804,0.00951706,0.0276812,0.060081
circle,0.00111882,0.00149258,0.000582705,0.00151048,0.00223435,0.00137665,0.00327732,0.00347393,0.00121668,0.00261772,0.00422043,0.00110464,0.000216213,0.00117057,0.00457566,0.00107543,0.0015947,0.000465605,0.00465683,0.00112649,0.00189106,0.00216222,0.00181861,0.00456273,0.00123253
circle,0.0103489,0.0186424,0.0198691,0.0254548,0.0186542,0.0310745,0.0115568,0.0156087,0.0357203,0.00424625,0.0113948,0.0395667,0.00478474,0.00251882,0.00653185,0.0427589,0.00963902,0.00741454,0.00147456,0.0454175,0.0093098,0.0105929,0.0105772,0.00371685,0.0476419
circle,0.00292094,0.00529695,0.00596894,0.00736498,0.00624324,0.00914321,0.00514076,0.00596834,0.0106979,0.00391189,0.00555094,0.0120818,0.00315777,0.00359109,0.0051216,0.0133344,0.00430967,0.00380019,0.00473977,0.0144849,0.00614678,0.00539398,0.0043631,0.00442844,0.0155545
circle,0.000112315,0.00049905,0.00182618,0.000983698,0.00241835,0.00145313,0.00192457,0.00277416,0.00191487,0.00201609,0.00318872,0.00237589,0.00343833,0.00265789,0.00363776,0.00283612,0.00449095,0.00314604,0.00406524,0.00329301,0.00331604,0.00411914,0.00335076,0.0044429,0.00374394
circle,0.0334704,0.0555428,0.0421544,0.0709963,0.0276222,0.0821495,0.0187497,0.0199777,0.0904493,0.0225085,0.0252197,0.0968204,0.0166487,0.0208386,0.0353108,0.101859,0.00483223,0.0136736,0.044997,0.105956,0.012435,0.00869417,0.00432948,0.0532407,0.109367
